rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000;averageBuyin;itmPercent;effectiveRake;totalRake;challengePrize;profitPostChall;miles;milesD3;milesD4;milesD5;milesRedD
1;VincyVon;2018;-12400;201800;538600;693;736;589;1541;328;132;14;3;0;0;0;0;100;34.34;11.03;14126;3500;-8900;56504;226016;254268;282520;339024
2;stakeleux24;1913;-1500;191300;512600;711;642;560;1443;327;127;15;1;0;0;0;0;100;37.17;10.68;13391;2250;750;53564;214256;241038;267820;321384
3;Archer90;1119;-5900;111900;302000;408;394;317;856;190;63;6;3;1;0;0;0;100;36.46;10.04;7833;1500;-4400;31332;125328;140994;156660;187992
4;Drachno;630;-1800;63000;168000;240;202;188;482;101;42;4;1;0;0;0;0;100;38.1;11.11;4410;1000;-800;17640;70560;79380;88200;105840
5;LoosIi;591;-4700;59100;157800;207;145;239;449;90;50;2;0;0;0;0;0;100;35.03;11;4137;750;-3950;16548;66192;74466;82740;99288
6;_s4_;461;-2500;46100;124400;160;154;147;353;66;39;2;1;0;0;0;0;100;34.71;10.05;3227;500;-2000;12908;51632;58086;64540;77448
7;JackSept;424;400;42400;113400;144;137;143;323;72;25;3;1;0;0;0;0;100;33.96;10.85;2968;500;900;11872;47488;53424;59360;71232
8;Tire-fesses;418;2400;41800;117600;149;163;106;315;74;25;1;2;1;0;0;0;100;35.65;6.22;2926;350;2750;11704;46816;52668;58520;70224
9;JULIEN2727;344;2400;34400;94400;121;77;146;257;57;27;2;1;0;0;0;0;100;35.17;8.53;2408;350;2750;9632;38528;43344;48160;57792
10;KhaleesiFTW;341;2500;34100;91600;138;104;99;255;59;25;2;0;0;0;0;0;100;40.47;10.46;2387;350;2850;9548;38192;42966;47740;57288
11;A.Lacagette;325;-300;32500;90800;108;117;100;239;51;31;4;0;0;0;0;0;100;33.23;6.87;2275;250;-50;9100;36400;40950;45500;54600
12;LENNY2610;313;-8900;31300;84200;82;121;110;235;52;24;2;0;0;0;0;0;100;26.2;10.33;2191;250;-8650;8764;35056;39438;43820;52584
13;PaKaiKai;256;1800;25600;68800;94;84;78;203;32;19;0;2;0;0;0;0;100;36.72;10.42;1792;250;2050;7168;28672;32256;35840;43008
14;PacoRayban;246;-1400;24600;72400;83;87;76;181;47;14;2;1;1;0;0;0;100;33.74;1.9;1722;250;-1150;6888;27552;30996;34440;41328
15;CapriX13;245;-4900;24500;63800;77;57;111;189;40;15;1;0;0;0;0;0;100;31.43;13.2;1715;250;-4650;6860;27440;30870;34300;41160
16;sofsof69;220;400;22000;60000;83;58;79;168;35;14;2;1;0;0;0;0;100;37.73;9.09;1540;150;550;6160;24640;27720;30800;36960
17;O0IIIIII0O;208;2000;20800;53400;89;68;51;160;37;11;0;0;0;0;0;0;100;42.79;14.42;1456;150;2150;5824;23296;26208;29120;34944
18;jenpeusplus;203;2300;20300;52400;83;63;57;160;27;16;0;0;0;0;0;0;100;40.89;13.96;1421;150;2450;5684;22736;25578;28420;34104
19;Akhym94;194;-2400;19400;54000;64;70;60;157;24;10;2;0;1;0;0;0;100;32.99;7.22;1358;150;-2250;5432;21728;24444;27160;32592
20;adopteunbet;181;1100;18100;50600;70;59;52;131;32;16;2;0;0;0;0;0;100;38.67;6.81;1267;150;1250;5068;20272;22806;25340;30408
21;raar91;174;-1000;17400;45000;63;64;47;133;31;10;0;0;0;0;0;0;100;36.21;13.79;1218;150;-850;4872;19488;21924;24360;29232
22;HanK_HulaY;143;2500;14300;41200;54;47;42;102;28;11;1;1;0;0;0;0;100;37.76;3.96;1001;150;2650;4004;16016;18018;20020;24024
23;lol_Sverev;140;400;14000;40800;55;38;47;109;20;10;0;0;1;0;0;0;100;39.29;2.86;980;150;550;3920;15680;17640;19600;23520
24;Manu__b;134;-1400;13400;35800;42;54;38;102;19;13;0;0;0;0;0;0;100;31.34;10.95;938;150;-1250;3752;15008;16884;18760;22512
25;jertiann;133;-2100;13300;32000;47;55;31;112;15;6;0;0;0;0;0;0;100;35.34;19.8;931;150;-1950;3724;14896;16758;18620;22344
26;LickMyEvChip;133;2100;13300;38400;47;48;38;102;16;11;3;1;0;0;0;0;100;35.34;3.76;931;100;2200;3724;14896;16758;18620;22344
27;solal38;132;-1400;13200;39400;38;28;66;98;18;11;4;1;0;0;0;0;100;28.79;0.51;924;100;-1300;3696;14784;16632;18480;22176
28;MezuuUuuT;129;-2700;12900;35000;38;54;37;93;28;7;1;0;0;0;0;0;100;29.46;9.56;903;100;-2600;3612;14448;16254;18060;21672
29;StillStay;122;1200;12200;32400;47;32;43;93;20;8;1;0;0;0;0;0;100;38.52;11.48;854;100;1300;3416;13664;15372;17080;20496
30;WERZOU;119;-700;11900;31400;44;29;46;91;20;7;1;0;0;0;0;0;100;36.97;12.04;833;100;-600;3332;13328;14994;16660;19992
31;JeanLuc123;116;-1400;11600;31000;38;42;36;87;19;10;0;0;0;0;0;0;100;32.76;10.92;812;100;-1300;3248;12992;14616;16240;19488
32;MAMARAZZI;110;0;11000;28800;39;40;31;84;20;5;1;0;0;0;0;0;100;35.45;12.73;770;100;100;3080;12320;13860;15400;18480
33;Aziz DuLoft;109;-900;10900;30000;39;42;28;82;17;8;2;0;0;0;0;0;100;35.78;8.26;763;100;-800;3052;12208;13734;15260;18312
34;proscoo;106;-200;10600;27800;37;36;33;82;17;6;1;0;0;0;0;0;100;34.91;12.58;742;100;-100;2968;11872;13356;14840;17808
35;Milan&Ines;100;-1800;10000;27400;29;41;30;78;9;12;1;0;0;0;0;0;100;29;8.67;700;100;-1700;2800;11200;12600;14000;16800
36;ValueMerguez;97;-500;9700;25200;38;35;24;78;11;7;1;0;0;0;0;0;100;39.18;13.4;679;100;-400;2716;10864;12222;13580;16296
37;truzman;97;-1100;9700;27600;32;32;33;65;23;9;0;0;0;0;0;0;100;32.99;5.15;679;100;-1000;2716;10864;12222;13580;16296
38;losbramaires;92;0;9200;24000;34;35;23;73;12;6;1;0;0;0;0;0;100;36.96;13.04;644;100;100;2576;10304;11592;12880;15456
39;BB_congele;88;-600;8800;23200;32;26;30;67;14;7;0;0;0;0;0;0;100;36.36;12.12;616;100;-500;2464;9856;11088;12320;14784
40;pollo401;86;-2200;8600;22400;26;27;33;67;14;4;1;0;0;0;0;0;100;30.23;13.18;602;100;-2100;2408;9632;10836;12040;14448
41;geranuim46;85;2900;8500;28200;28;36;21;62;12;10;0;0;1;0;0;0;100;32.94;-10.59;595;100;3000;2380;9520;10710;11900;14280
42;BanFromPluto;85;-2100;8500;21400;29;34;22;70;8;7;0;0;0;0;0;0;100;34.12;16.08;595;100;-2000;2380;9520;10710;11900;14280
43;melyon;84;-200;8400;25000;32;24;28;60;15;5;4;0;0;0;0;0;100;38.1;0.79;588;100;-100;2352;9408;10584;11760;14112
44;gr84;81;-500;8100;21000;31;22;28;61;16;4;0;0;0;0;0;0;100;38.27;13.58;567;100;-400;2268;9072;10206;11340;13608
45;RoroLeskro;80;2400;8000;22200;34;29;17;58;17;3;2;0;0;0;0;0;100;42.5;7.5;560;100;2500;2240;8960;10080;11200;13440
46;HalAtAc;74;-1000;7400;22400;22;27;25;48;18;6;2;0;0;0;0;0;100;29.73;-0.9;518;100;-900;2072;8288;9324;10360;12432
47;OMGcall911;73;1500;7300;20000;33;25;15;55;9;9;0;0;0;0;0;0;100;45.21;8.68;511;100;1600;2044;8176;9198;10220;12264
48;POLBICH42;72;-1400;7200;19200;25;17;30;55;10;7;0;0;0;0;0;0;100;34.72;11.11;504;100;-1300;2016;8064;9072;10080;12096
49;CLOGREGORY;72;-800;7200;17800;25;18;29;61;7;3;1;0;0;0;0;0;100;34.72;17.59;504;100;-700;2016;8064;9072;10080;12096
50;Etnies;71;100;7100;18000;25;30;16;57;9;5;0;0;0;0;0;0;100;35.21;15.49;497;100;200;1988;7952;8946;9940;11928
51;BoumBail;70;-600;7000;18400;25;21;24;55;8;7;0;0;0;0;0;0;100;35.71;12.38;490;50;-550;1960;7840;8820;9800;11760
52;siestoboulot;70;1000;7000;23400;24;21;25;43;15;8;4;0;0;0;0;0;100;34.29;-11.43;490;50;1050;1960;7840;8820;9800;11760
53;lera 33;69;-1100;6900;19000;23;22;24;51;12;5;1;0;0;0;0;0;100;33.33;8.21;483;50;-1050;1932;7728;8694;9660;11592
54;Chattardd;69;-100;6900;20800;24;18;27;47;16;5;0;1;0;0;0;0;100;34.78;-0.48;483;50;-50;1932;7728;8694;9660;11592
55;Ababurre;68;-1400;6800;17000;20;17;31;56;7;5;0;0;0;0;0;0;100;29.41;16.67;476;50;-1350;1904;7616;8568;9520;11424
56;BAbaBAbaBA.;67;-2900;6700;17400;14;24;29;53;8;6;0;0;0;0;0;0;100;20.9;13.43;469;50;-2850;1876;7504;8442;9380;11256
57;maAamyy;67;-1500;6700;17800;21;20;26;55;9;2;0;1;0;0;0;0;100;31.34;11.44;469;50;-1450;1876;7504;8442;9380;11256
58;ManGoItsMe;67;-100;6700;17000;27;21;19;50;16;1;0;0;0;0;0;0;100;40.3;15.42;469;50;-50;1876;7504;8442;9380;11256
