rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000
1;Ketelsen;1091;4500;109100;383200;394;408;289;856;159;69;5;1;0;0;1;0
2;monkey4242;938;-3000;93800;245600;337;254;347;735;130;66;7;0;0;0;0;0
3;Jan Pier Lag;896;-7200;89600;240200;313;321;262;680;148;60;7;1;0;0;0;0
4;RagazzaBella;865;-8500;86500;236400;271;194;400;648;149;62;5;0;1;0;0;0
5;MAMARAZZI;562;-4000;56200;148200;204;193;165;440;77;39;6;0;0;0;0;0
6;Expresso_GTO;510;77600;51000;242800;169;188;153;366;96;42;4;1;0;0;1;0
8;raar91;435;-500;43500;118400;157;141;137;326;69;36;4;0;0;0;0;0
9;proscoo;391;-5500;39100;104600;124;131;136;300;63;24;3;1;0;0;0;0
10;_s4_;360;200;36000;96600;133;113;114;274;57;25;4;0;0;0;0;0
11;ChibreAcier7;285;2700;28500;81600;100;106;79;215;41;27;1;0;1;0;0;0
12;Bartolomeo33;255;-1100;25500;70800;85;83;87;188;43;20;4;0;0;0;0;0
13;AAnus Etroit;242;-7800;24200;65400;67;79;96;181;37;24;0;0;0;0;0;0
14;Tony_Cmister;230;-600;23000;61600;81;84;65;177;32;19;2;0;0;0;0;0
15;Biquettesick;225;5700;22500;62400;97;62;66;166;35;22;2;0;0;0;0;0
16;Shori Nota;224;-2400;22400;60000;78;82;64;174;32;14;4;0;0;0;0;0
17;GUYROUX4EVER;218;0;21800;60200;78;73;67;162;35;18;3;0;0;0;0;0
18;lol_Sverev;185;1700;18500;51400;67;47;71;131;38;15;1;0;0;0;0;0
19;remonthemoon;183;2500;18300;48800;77;54;52;141;27;13;2;0;0;0;0;0
20;O0IIIIII0O;177;-1900;17700;49000;55;72;50;127;34;15;1;0;0;0;0;0
21;_CaLviN_;156;-1600;15600;40400;53;55;48;124;22;8;2;0;0;0;0;0
22;Vi1MetrTaTet;155;-2100;15500;42200;51;65;39;114;28;12;1;0;0;0;0;0
23;PaKaiKai;138;-200;13800;37000;45;57;36;103;23;12;0;0;0;0;0;0
24;Tire-fesses;131;-300;13100;34200;46;38;47;101;20;10;0;0;0;0;0;0
25;GuideAA;124;-4400;12400;32600;32;55;37;95;21;7;1;0;0;0;0;0
26;ManGoItsMe;124;-3600;12400;32800;36;50;38;92;24;8;0;0;0;0;0;0
27;PAN PAN QQ;122;-200;12200;33000;44;41;37;89;23;10;0;0;0;0;0;0
28;MITROVIC67;119;1300;11900;34000;48;34;37;83;27;6;3;0;0;0;0;0
29;Xbet;116;-1600;11600;31600;37;43;36;91;15;9;0;1;0;0;0;0
31;LickMyEvChip;111;3500;11100;31800;45;28;38;82;17;11;0;1;0;0;0;0
32;kylsen80;108;1800;10800;32600;42;29;37;72;21;13;2;0;0;0;0;0
33;Ba88con;108;-3400;10800;27400;30;47;31;86;15;7;0;0;0;0;0;0
34;lupaesano;107;900;10700;28600;39;25;43;77;24;6;0;0;0;0;0;0
35;VincyVon;104;-800;10400;25600;37;36;31;89;6;9;0;0;0;0;0;0
36;U_whine_amax;103;2500;10300;28400;39;37;27;85;10;4;3;1;0;0;0;0
38;94polito94;101;1300;10100;27200;37;25;39;72;23;6;0;0;0;0;0;0
39;adopteunbet;101;-700;10100;27600;36;35;30;74;19;7;1;0;0;0;0;0
40;le_sAAbreur;95;-1500;9500;25600;31;30;34;71;15;9;0;0;0;0;0;0
41;Xtrail7627;94;-1200;9400;23400;34;23;37;78;11;4;1;0;0;0;0;0
42;Mariutz;93;-2300;9300;22800;30;23;40;77;11;5;0;0;0;0;0;0
43;chikhaoui83;92;-800;9200;24600;31;30;31;72;13;5;2;0;0;0;0;0
44;Excaliburne.;87;-2900;8700;22400;25;26;36;70;11;5;1;0;0;0;0;0
45;HustlaStylez;83;900;8300;20800;35;28;20;67;13;2;1;0;0;0;0;0
46;Cocoon06;81;-500;8100;22200;26;10;45;61;12;7;1;0;0;0;0;0
47;Skyees;80;-1400;8000;22800;24;29;27;53;20;7;0;0;0;0;0;0
48;NicoFloflo;78;-1600;7800;20800;25;31;22;59;12;7;0;0;0;0;0;0
49;TEN10101981;75;-2100;7500;20800;21;22;32;52;17;6;0;0;0;0;0;0
50;mimi77590;73;700;7300;21000;28;22;23;55;11;6;0;1;0;0;0;0
51;nayalo;73;900;7300;20800;31;21;21;57;9;3;4;0;0;0;0;0
52;StillStay;72;-1000;7200;19400;23;21;28;55;9;8;0;0;0;0;0;0
53;lapaesana83;72;-1200;7200;21000;21;28;23;49;17;4;2;0;0;0;0;0
54;11bRG;71;-2300;7100;20000;22;32;17;53;14;3;0;1;0;0;0;0
56;Picciotto;69;-1700;6900;17800;21;24;24;54;10;5;0;0;0;0;0;0
57;1FlipMore;69;1100;6900;17800;30;20;19;54;10;5;0;0;0;0;0;0
58;jyd13;69;1100;6900;19200;23;25;21;51;11;6;1;0;0;0;0;0
59;FireInTheHoL;67;-500;6700;16600;27;16;24;55;8;4;0;0;0;0;0;0
60;Raf266;66;-600;6600;18000;20;20;26;48;12;6;0;0;0;0;0;0
61;Oo.jaggy.oO;65;-1100;6500;17200;22;25;18;46;17;2;0;0;0;0;0;0
62;lapy95;65;-900;6500;17200;20;21;24;50;11;3;1;0;0;0;0;0
63;Off the Wall;65;-1700;6500;16200;22;20;23;54;8;2;1;0;0;0;0;0
64;MOOM13;64;400;6400;16800;24;22;18;51;8;4;1;0;0;0;0;0
65;stephenlala;64;-800;6400;17000;23;24;17;47;13;4;0;0;0;0;0;0
66;Thx Teerak;64;-1400;6400;17600;20;28;16;48;10;5;1;0;0;0;0;0
67;Verneuil;63;-700;6300;17800;25;18;20;44;14;4;1;0;0;0;0;0
68;djy86;62;800;6200;17600;25;21;16;45;8;9;0;0;0;0;0;0
69;siestoboulot;62;-200;6200;16000;23;17;22;50;8;3;1;0;0;0;0;0
70;MaCyLia8484;61;-500;6100;15400;21;18;22;47;12;2;0;0;0;0;0;0
71;PacoRayban;60;-2400;6000;16400;17;24;19;46;6;8;0;0;0;0;0;0
72;JeanLuc123;59;-1100;5900;15200;18;19;22;46;9;4;0;0;0;0;0;0
73;Spixou95;58;-2200;5800;16800;16;27;15;41;10;6;1;0;0;0;0;0
74;MalcatAAnho1;58;0;5800;15400;22;16;20;43;11;4;0;0;0;0;0;0
75;Armani78520;57;300;5700;16600;17;17;23;40;8;9;0;0;0;0;0;0
76;Benmc24;56;-1800;5600;14800;16;22;18;41;12;3;0;0;0;0;0;0
77;Gemoo518;56;600;5600;15000;19;20;17;43;7;6;0;0;0;0;0;0
78;1goal1dream;55;-1500;5500;14800;15;22;18;41;9;5;0;0;0;0;0;0
79;BLOODY.NL;55;500;5500;14400;24;11;20;43;9;2;1;0;0;0;0;0
80;JOCHAR23;55;-1700;5500;14600;15;22;18;44;6;4;1;0;0;0;0;0
81;gRIPSIKING;55;-1300;5500;13400;19;17;19;44;10;1;0;0;0;0;0;0
82;longway;54;400;5400;14400;22;13;19;40;10;4;0;0;0;0;0;0
83;Gini2a;54;-1200;5400;13400;17;26;11;44;7;3;0;0;0;0;0;0
84;Qualorga;53;-900;5300;13800;17;14;22;42;6;5;0;0;0;0;0;0
85;klkako07;53;-900;5300;14800;15;26;12;39;9;4;1;0;0;0;0;0
86;temple42;53;300;5300;13200;22;14;17;42;9;2;0;0;0;0;0;0
87;Ababurre;52;200;5200;13400;21;16;15;41;9;1;1;0;0;0;0;0
