"rank";"playerName";"expressoNb";"profit";"totalBuyin";"totalJackpot";"places1";"places2";"places3";"totalX2";"totalX4";"totalX6";"totalX10";"totalX20";"totalX50";"totalX200";"totalX1000";"totalX10000"
"1";"ChildCZ";"1831";"-1125";"45775";"120550";"667";"689";"475";"1404";"299";"118";"9";"1";"0";"0";"0";"0"
"2";"audesusenbas";"1586";"7350";"41500";"137000";"639";"563";"384";"1187";"283";"103";"9";"3";"0";"0";"1";"0"
"3";"Hey_Jude";"1451";"-4025";"38625";"101800";"513";"487";"451";"1123";"219";"98";"11";"0";"0";"0";"0";"0"
"4";"oldhandfishh";"1235";"-2275";"41075";"106700";"452";"422";"361";"964";"182";"83";"4";"2";"0";"0";"0";"0"
"5";"SCOFIELD0413";"962";"18575";"26625";"93550";"342";"288";"332";"740";"159";"62";"0";"0";"0";"0";"1";"0"
"6";"BanFromPluto";"874";"625";"38675";"102950";"333";"318";"223";"675";"134";"55";"9";"1";"0";"0";"0";"0"
"7";"jerome83";"705";"-250";"17700";"48350";"253";"203";"249";"510";"138";"54";"3";"0";"0";"0";"0";"0"
"8";"Yu-Gi-Oooooh";"634";"650";"15850";"42050";"255";"197";"182";"484";"106";"40";"3";"1";"0";"0";"0";"0"
"9";"Anjuna 7";"626";"1300";"31300";"86900";"231";"236";"159";"450";"122";"50";"3";"1";"0";"0";"0";"0"
"10";"Le Audrius";"618";"300";"30900";"85900";"236";"201";"181";"463";"102";"44";"6";"3";"0";"0";"0";"0"
"11";"Fin2carriere";"614";"-350";"15350";"41250";"212";"204";"198";"464";"100";"47";"2";"1";"0";"0";"0";"0"
"12";"RagazzaBella";"570";"-1775";"28475";"79400";"189";"145";"236";"432";"87";"43";"7";"0";"1";"0";"0";"0"
"13";"madmax441188";"559";"325";"13975";"38250";"198";"182";"179";"418";"96";"40";"3";"2";"0";"0";"0";"0"
"14";"Arthur4King";"499";"1925";"12475";"34950";"189";"192";"118";"364";"91";"36";"7";"1";"0";"0";"0";"0"
"15";"PacoRayban";"473";"-1125";"22625";"60850";"167";"143";"163";"350";"85";"37";"1";"0";"0";"0";"0";"0"
"16";"cunbrejnaca";"463";"-1000";"11650";"31350";"162";"160";"141";"346";"79";"36";"2";"0";"0";"0";"0";"0"
"17";"gogepok37";"457";"25";"11425";"30300";"167";"148";"142";"348";"71";"37";"1";"0";"0";"0";"0";"0"
"18";"Sandalius";"440";"-800";"22000";"58900";"159";"156";"125";"331";"77";"28";"4";"0";"0";"0";"0";"0"
"20";"ShittingBull";"412";"1100";"11250";"30650";"156";"146";"110";"319";"63";"26";"2";"2";"0";"0";"0";"0"
"21";"bruns1987";"411";"625";"13225";"36650";"147";"110";"154";"318";"62";"24";"5";"2";"0";"0";"0";"0"
"22";"Le0nArdA";"409";"950";"18300";"46850";"160";"130";"119";"325";"60";"23";"1";"0";"0";"0";"0";"0"
"23";"castorseb";"399";"550";"15400";"42700";"155";"128";"116";"299";"63";"34";"2";"1";"0";"0";"0";"0"
"24";"Fishosaurex";"395";"-400";"12250";"32450";"133";"128";"134";"303";"62";"26";"4";"0";"0";"0";"0";"0"
"25";"Jeanlo44";"383";"-550";"10900";"29950";"136";"110";"137";"285";"64";"31";"3";"0";"0";"0";"0";"0"
"26";"pablo8413";"381";"-1175";"12775";"35900";"113";"133";"135";"282";"61";"35";"0";"3";"0";"0";"0";"0"
"27";"megapitch";"380";"-225";"9725";"26450";"128";"144";"108";"295";"62";"18";"4";"0";"1";"0";"0";"0"
"28";"mimi936";"374";"100";"11150";"29550";"133";"120";"121";"277";"73";"23";"1";"0";"0";"0";"0";"0"
"29";"belhadj39";"364";"-625";"13275";"35750";"133";"127";"104";"273";"59";"28";"4";"0";"0";"0";"0";"0"
"30";"Cleman09";"352";"-1200";"9500";"26100";"108";"115";"129";"270";"51";"26";"4";"1";"0";"0";"0";"0"
"31";"TKOMEC";"347";"825";"10775";"30450";"132";"95";"120";"256";"66";"21";"2";"2";"0";"0";"0";"0"
"32";"KYFFF";"328";"50";"8200";"22000";"122";"99";"107";"242";"60";"26";"0";"0";"0";"0";"0";"0"
"33";"08NOX10US";"326";"225";"15175";"41800";"120";"112";"94";"238";"59";"26";"3";"0";"0";"0";"0";"0"
"35";"12B1-Bill";"315";"-675";"9425";"25550";"112";"91";"112";"225";"66";"22";"2";"0";"0";"0";"0";"0"
"36";"laurancid";"313";"350";"10300";"29550";"105";"124";"84";"228";"60";"19";"5";"0";"1";"0";"0";"0"
"37";"ddr3ssd";"304";"-450";"7600";"21250";"107";"122";"75";"219";"58";"25";"1";"1";"0";"0";"0";"0"
"38";"Thrillerium";"300";"-75";"8775";"23700";"106";"87";"107";"224";"47";"27";"2";"0";"0";"0";"0";"0"
"39";"Crashfan";"295";"-75";"7375";"19100";"112";"99";"84";"226";"53";"15";"1";"0";"0";"0";"0";"0"
"40";"LENNY2610";"291";"-3000";"12850";"34200";"88";"106";"97";"225";"42";"21";"3";"0";"0";"0";"0";"0"
"41";"sirsirsir";"290";"50";"7300";"19950";"112";"74";"104";"218";"48";"21";"2";"1";"0";"0";"0";"0"
"42";"-keefkeef-";"285";"1275";"11825";"33150";"103";"111";"71";"215";"43";"23";"3";"0";"1";"0";"0";"0"
"43";"Ajeossi";"285";"275";"7125";"19300";"106";"111";"68";"215";"43";"25";"2";"0";"0";"0";"0";"0"
"44";"JackSept";"284";"-2725";"13125";"35150";"90";"94";"100";"213";"49";"21";"1";"0";"0";"0";"0";"0"
"45";"BOGDANOOOFFF";"282";"1125";"8875";"24400";"105";"83";"94";"206";"54";"19";"1";"2";"0";"0";"0";"0"
"46";"robob";"278";"-600";"6950";"18300";"98";"116";"64";"215";"44";"16";"3";"0";"0";"0";"0";"0"
"47";"lolo02r";"273";"150";"9600";"25100";"98";"92";"83";"216";"40";"13";"4";"0";"0";"0";"0";"0"
"48";"RafaRG";"269";"-1250";"8300";"21500";"98";"95";"76";"211";"42";"15";"1";"0";"0";"0";"0";"0"
"49";"Next_PCP";"267";"25";"7175";"18550";"99";"83";"85";"215";"28";"23";"1";"0";"0";"0";"0";"0"
"50";"vanou9444";"266";"-1175";"6925";"18650";"84";"94";"88";"204";"41";"18";"2";"1";"0";"0";"0";"0"
"51";"Bloody Foufy";"266";"-275";"8175";"21600";"94";"86";"86";"200";"48";"17";"1";"0";"0";"0";"0";"0"
"52";"AiiAAKKPIPI";"259";"125";"6475";"16850";"97";"84";"78";"200";"40";"19";"0";"0";"0";"0";"0";"0"
"53";"01eminem01";"258";"50";"6450";"17200";"95";"89";"74";"194";"42";"22";"0";"0";"0";"0";"0";"0"
"54";"Akhym94";"256";"-1200";"10350";"29650";"77";"93";"86";"185";"39";"27";"5";"0";"0";"0";"0";"0"
"55";"susu59";"252";"250";"8050";"22400";"88";"92";"72";"190";"36";"23";"2";"1";"0";"0";"0";"0"
"56";"Capicorsu";"247";"200";"7100";"21300";"73";"73";"101";"171";"54";"18";"3";"0";"1";"0";"0";"0"
"57";"Aoninenk";"245";"-850";"6300";"16400";"87";"96";"62";"192";"37";"15";"0";"1";"0";"0";"0";"0"
"58";"bable06";"242";"-1175";"7825";"21350";"74";"50";"118";"176";"45";"19";"2";"0";"0";"0";"0";"0"
"59";"truzman";"241";"550";"8800";"24200";"94";"64";"83";"171";"49";"21";"0";"0";"0";"0";"0";"0"
"60";"mingming73";"236";"-1675";"6675";"17300";"70";"62";"104";"188";"29";"19";"0";"0";"0";"0";"0";"0"
"61";"Sebaw";"235";"25";"8125";"21100";"87";"78";"70";"174";"45";"16";"0";"0";"0";"0";"0";"0"
"62";"jojolebedo";"235";"500";"8500";"23950";"89";"61";"85";"172";"36";"22";"4";"1";"0";"0";"0";"0"
"63";"CryMeaRiver.";"232";"-975";"6225";"16750";"71";"89";"72";"172";"40";"18";"2";"0";"0";"0";"0";"0"
"64";"Nonassis";"228";"-675";"5725";"15800";"74";"91";"63";"169";"40";"17";"1";"1";"0";"0";"0";"0"
"65";"Blind_fold";"225";"-825";"7175";"18450";"76";"84";"65";"166";"48";"11";"0";"0";"0";"0";"0";"0"
"66";"Nicosinus";"223";"-150";"8300";"21150";"89";"69";"65";"186";"25";"9";"2";"1";"0";"0";"0";"0"
"67";"MrTs222";"222";"1300";"9250";"25200";"93";"82";"47";"160";"44";"16";"2";"0";"0";"0";"0";"0"
