playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000;itmPercent;averageBuyin;effectiveRake;totalRake;challengePrize;profitPostChall;miles;milesD3;milesD4;milesD5;milesRedD;rbD3;rbD4;rbD5;rbRedD;profitPostRbD3;profitPostRbD4;profitPostRbD5;profitPostRbRedD
BetterCallMe;34999;-32600;1135450;3073000;12359;11394;11246;26704;5585;2421;236;43;9;0;1;0;35.31;32.44;9.79;79481.5;28925;-3675;317926;1271704;1430667;1589630;1907556;19075.75;21460.22;23844.69;28613.63;15400.75;17785.22;20169.69;24938.63
ChildCZ;21305;204200;564350;1791850;7746;7500;6059;16190;3471;1472;138;27;4;1;1;1;36.36;26.49;-5.84;39504.5;18825;223025;158018;632072;711081;790090;948108;9481.17;10666.32;11851.47;14221.76;232506.17;233691.32;234876.47;237246.76
Hey_Jude;16402;-10100;427250;1160900;5819;5546;5037;12455;2678;1127;116;19;5;2;0;0;35.48;26.05;9.43;29907.5;11125;1025;119630;478520;538335;598150;717780;7177.87;8075.11;8972.34;10766.81;8202.87;9100.11;9997.34;11791.81
adopteunbet;13915;-6600;986000;2639100;5166;4762;3987;10635;2170;990;107;12;1;0;0;0;37.13;70.86;10.78;69020;11750;5150;276080;1104320;1242360;1380400;1656480;16564.97;18635.59;20706.21;24847.45;21714.97;23785.59;25856.21;29997.45
MrTs222;13478;4300;360100;965200;5095;4911;3472;10201;2242;943;77;13;2;0;0;0;37.8;26.72;10.65;25207;6525;10825;100828;403312;453726;504140;604968;6049.74;6805.96;7562.18;9074.61;16874.74;17630.96;18387.18;19899.61
RagazzaBella;10106;-106575;779325;2128250;3129;2527;4450;7637;1604;765;87;10;2;1;0;0;30.96;77.12;8.97;54552.75;7350;-99225;218211;872844;981949.5;1091055;1309266;13092.79;14729.39;16365.99;19639.19;-86132.21;-84495.61;-82859.01;-79585.81
itsfree;8869;-35700;886900;2404200;3162;3172;2535;6745;1398;650;61;10;5;0;0;0;35.65;100;9.64;62083;17200;-18500;248332;993328;1117494;1241660;1489992;14900.07;16762.58;18625.09;22350.1;-3599.93;-1737.42;125.09;3850.1
raar91;8334;-5400;833400;2224000;3083;2781;2470;6393;1325;549;57;7;3;0;0;0;36.99;100;11.05;58338;10100;4700;233352;933408;1050084;1166760;1400112;14001.26;15751.42;17501.58;21001.89;18701.26;20451.42;22201.58;25701.89
LENNY2610;8240;-106675;581125;1573350;2576;2952;2712;6291;1284;591;64;5;3;2;0;0;31.26;70.52;9.75;40678.75;4800;-101875;162715;650860;732217.5;813575;976290;9763;10983.37;12203.75;14644.5;-92112;-90891.63;-89671.25;-87230.5
Ketelsen;8182;21800;713300;2066900;3030;3008;2144;6191;1317;600;61;10;0;2;1;0;37.03;87.18;3.41;49931;15525;37325;199724;798896;898758;998620;1198344;11983.56;13481.5;14979.45;17975.34;49308.56;50806.5;52304.45;55300.34
unasmonfrere;8176;-15900;406700;1098950;2932;2952;2292;6232;1300;574;63;5;1;1;0;0;35.86;49.74;9.93;28469;3500;-12400;113876;455504;512442;569380;683256;6832.63;7686.71;8540.79;10248.94;-5567.37;-4713.29;-3859.21;-2151.06
